chain_id,dp,mass,fraction_m1,fraction_m2,sequence
385,14,2070.3800000000006,0.35714285714285715,0.6428571428571429,22122112221212
386,1,172.18,0.0,1.0,2
387,485,67180.58000000016,0.4948453608247423,0.5051546391752577,22121221212122121111122121211212212222111122121122122221112122121221122122212112122222211212122222211221211111212121211222212112221122212211212112121222212121221112121121222121221212121112121211211222212121121111211212112212122122222121212212122121112121222221212112221211212121211211212121211121211121122121212121221221221221222112121212121211121212121121112121212121212122122121111112211212221221211111122212121121211112221111121222221111212112121121122212212211111222121111212221221
388,322,45169.73200000004,0.468944099378882,0.531055900621118,2121212212112121222212211221212121211212212122121212122121212112121211212122222211221221122121122222112112111121121122112121212121112122122222112221212221221121212122211222121212221122122111212222121221112121221212112122122121212212111121212212211212212121111121211222121121221211212121112222212112121212121221211212122212
389,11,1689.8960000000004,0.2727272727272727,0.7272727272727273,21221122222
390,214,29567.523999999954,0.5,0.5,1212111122122121212211212222112212212122111111212211121212112121221212122111211212211121212122122121121211211211112112121221121112211211211212112112221111222212221212112112221212222222112122122122121121221212222122
391,156,21757.979999999992,0.4807692307692308,0.5192307692307693,112212111212122211221112221121212121211111122112122222121121212121221121121221122212121211212122122121221212121121222112122112212122222212122221211121212121
392,46,6491.692000000002,0.45652173913043476,0.5434782608695652,2212212212221211211212122221112112121222111122
393,74,10360.340000000007,0.47297297297297297,0.527027027027027,12212212121122121222112121212112212211121212112122121212122122111221212221
394,108,15398.124000000014,0.4351851851851852,0.5648148148148148,122121212222111122121212121121212121212211212212121212122112221222112212122121212121122222221222212121212211
395,31,4113.076,0.5806451612903226,0.41935483870967744,2121221211212122112121111221111
396,130,17757.496000000006,0.5230769230769231,0.47692307692307695,2221112112112121121211111211222121211221121112112112212121211212211212112121221221221212111121221122222212221121212121212121212211
397,113,15850.856000000014,0.4690265486725664,0.5309734513274337,12112112221221211221221221212212212122112122121212121121221221212212112122212112112112121121121212121221221212221
398,93,13291.620000000012,0.43010752688172044,0.5698924731182796,121221221121112221121221212212121221212212112121222221112222212212211221212121121222121221221
399,13,1830.1720000000005,0.46153846153846156,0.5384615384615384,2121212212211
400,49,7212.316000000003,0.3673469387755102,0.6326530612244898,1212212121212121212122212221212212222212212222121
401,46,6559.720000000002,0.43478260869565216,0.5652173913043478,1212221212221211122122212212121122112112122122
402,129,17857.428000000004,0.49612403100775193,0.5038759689922481,221112221211221211112222122211121221222112112211121112121222121212212222222212112112112112121211212121112212112121121122121121212
403,108,15057.984000000011,0.48148148148148145,0.5185185185185185,211211212121112122122212221221222222222212121211211112121212121111212122122112121112121212211212221112121212
404,70,9875.704000000007,0.45714285714285713,0.5428571428571428,2212121112122121222121212121112221211212221222212121112212211212112122
405,39,5218.404000000001,0.5641025641025641,0.4358974358974359,212121111122221211111122121212112112212
406,273,38093.471999999965,0.47985347985347987,0.5201465201465202,221121212121122121211222121211112121121212221122211112112122121121211121121112122121211221221121221221212221221122212122211212112212211211121212111212211121112122121121112112212212212121212121122212212121212121222212121211212222221212221222122222212112212112121221212112212
407,8,1173.3560000000002,0.375,0.625,22212211
408,23,3279.8599999999997,0.43478260869565216,0.5652173913043478,21122112121212122222112
409,23,3075.7760000000003,0.5652173913043478,0.43478260869565216,21112122112121211221121
410,109,15230.164000000013,0.47706422018348627,0.5229357798165137,1122122112111211222222121121121222112222111221222121211122112122121122121212211211221212212111222122211212121
411,44,6351.416000000002,0.4090909090909091,0.5909090909090909,22121222212212211221212112212211211122121222
412,34,4697.644,0.5,0.5,1121212121212121121222112212122121
413,85,11642.068000000008,0.5176470588235295,0.4823529411764706,1212212121222121121212212122112222111112222112122121211111111121212121212121121222112
414,36,4973.976000000001,0.5,0.5,112212121222221211221211121212121112
415,1,104.152,1.0,0.0,1
416,332,46483.36400000002,0.47289156626506024,0.5271084337349398,11221212121212222122112111211221212112121222222212121121111212121122212212122121121211222111221221212121212121221222122121122111211122111211221212121212122121121121212121212212112212121221222212121212122121221212122122122121112121112121222121221222112112212122221212111121211221221221221212121212212122212121211211221121211221221221
417,94,12987.604000000008,0.5,0.5,2211221212112221212122121222112121111221212111112122211121121221121121211122212112212121222122
418,305,43331.12000000001,0.4426229508196721,0.5573770491803278,12122121221112122121222212112212212112212111211122121122122222221122212212222112121212121121122121221211211222121212121121221212121211112211211212121212212122121221222121122212121222211122212122212122121211221212212221221221211222121212121212121112122221222112212121211222212212212121212221121212221112221
419,109,15094.108000000013,0.4954128440366973,0.5045871559633027,1121221212221121221212211212112121221211212121222122111111212111221212212221221121122112212121122122121212121
420,14,1866.2960000000005,0.5714285714285714,0.42857142857142855,12121221121211
421,144,20304.071999999996,0.4583333333333333,0.5416666666666666,122212112122121122212212221211212212111222121112212121112122122211222212121112111222112122222112212212112121121222121221212122111122121222121221
422,267,37400.531999999956,0.47191011235955055,0.5280898876404494,112112221122221212122121112121122221122221212122212121112111212121212121221221212222212112121221222111221221212212212212121212212111112212121222212121221211211212112121121121212112112212211221121112212211121212212121212222121211212121221122121221222112122121212121221
423,30,4213.008,0.4666666666666667,0.5333333333333333,211221211211121222212122121122
424,87,12802.76400000001,0.367816091954023,0.632183908045977,222121211212221222122221221221222212212211221212122122111222122211222121212122212112212
425,148,20788.707999999988,0.46621621621621623,0.5337837837837838,2122212121212112121212211212112221212121222221121222221211212121211212212212221122121212112212211122121121221212211212221211121212121211212122121121
426,69,9431.412000000006,0.5217391304347826,0.4782608695652174,122122121211212211211211212211111122212212211221212112111221212112122
427,887,123471.61999999899,0.48478015783540024,0.5152198421645998,12212121122221221221112121121121122122112211211121121222111121122121212222121221221211221212212122212112221121221221121211211211222221211212112221221112112121111112121112212212121121211212212112212122211222121121121221212122112121221221222212211122212112222221211121121222112121122111112112221122221122121112221212112121121212111211212122112211212212121221111212112122121211121122121222221222221211212111121112111222112112211212221122121211121211121122221212112112122112122211212121212122212112212212121112121222121212122221212121211211222121121221212212221122221221121211222221221212121221121221221211211212211121212212122122112211212121221211121221211212112112211212212121212122211121212122212121212212122212112121121212121121121121112121212122122212212121222221112212121211221211221222121211211212212121212121222221211111211211212222211122212222121212122121222121211221221212212112112
428,17,2586.92,0.29411764705882354,0.7058823529411765,12222112221222122
429,49,6736.120000000003,0.5102040816326531,0.4897959183673469,1122212121111121222212221111212221121212112212211
430,28,4004.7039999999997,0.42857142857142855,0.5714285714285714,2122211221212212121212122121
431,65,9218.888000000004,0.4461538461538462,0.5538461538461539,21121122112221121221222122221212111221221111212221212212121212212
432,112,15678.676000000014,0.4732142857142857,0.5267857142857143,2121212122111221121222212112121211111211212112122122112212112112212211222222121222221121212211221221221221121112
433,128,18161.443999999996,0.4453125,0.5546875,11222111211221222221221221122222122121222121221212222221122122121212221122121121221112112212121111212222212121221211122111211211
434,26,3592.316,0.5,0.5,21121121212221222121122111
435,82,11261.584000000008,0.5121951219512195,0.4878048780487805,1222122112122121212112121121212121212122121121121121212122122121121211112211212122
436,128,17821.304000000004,0.484375,0.515625,12121212122121221221212122212122121211111211221212221221212211212121221222112212112111122121112121212212121212122122111221222111
437,59,8049.752000000004,0.5254237288135594,0.4745762711864407,22121112111211212211122121212212121212122211212212212111112
438,389,54664.952000000114,0.4652956298200514,0.5347043701799485,21112121211121121212122111222121121212121112122121212122121122122121211211221212211222212211212222122111212122111212121211221122212221221211121212121221122122211212122212111212121211222221212122222122122221122121221222112211212212221212222112112112112222111212122212212212112221222212211212121212112121122112121121121121122212122221212211212121222121112121221112112121212121212221212121212
